No,Longitude,Latitude,Date,Distco,cluster1,cluster2,SSChla,SST,SSS
1,120.22,26.87,2020/8/30,1,Plume,Plume,7.7,28.92,26.02
2,120.21,26.75,2020/8/30,3.026,Plume,Plume,5.71,28.95,26.08
3,120.37,26.83,2006/7/19,7.13602,Mixed,Mixed,5.96,27.34,33.05
4,120.62,26.68,2006/7/20,23.5246,Mixed,Mixed,4.22,26.81,32.02
5,121.14,26.38,2006/7/20,62.9141,Mixed,Mixed,0.73,27.42,33.54
6,121.37,26.22,2006/7/20,84.7257,Oligotrophic,Oligotrophic,0.49,28.37,33.6
7,119.83,26.49,2021/7/3,1.74025,Plume,Plume,2.4,27.45,27.72
8,119.97,26.44,2021/7/4,4.81182,Plume,Plume,3.56,26.98,27.76
9,120.37,26.36,2006/7/21,12.2016,Mixed,Mixed,4.53,26.9,31.53
10,120.73,26.19,2022/8/15,25.747,Mixed,Mixed,0.98,27.18,33.42
11,121.15,25.96,2022/8/15,76.8309,Oligotrophic,Oligotrophic,0.49,27.89,33.63
12,120.13,26.29,2006/7/24,10.6691,Mixed,Mixed,3.15,28.11,31.92
13,120.38,26.05,2006/7/28,35.0694,Upwelling,Upwelling,0.44,26.08,33.87
14,120.75,25.82,2006/7/29,61.7067,Oligotrophic,Oligotrophic,0.33,27.49,33.64
15,121,25.67,2006/7/28,68.1768,Oligotrophic,Oligotrophic,0.33,27.41,33.66
16,119.82,26.21,2022/8/15,6.07514,Plume,Plume,4.15,25.68,27.12
17,119.93,26.09,2022/8/15,5.01467,Plume,Plume,3.6,25.15,28.1
18,120.13,25.88,2006/7/28,12.9799,Mixed,Mixed,2.04,27.97,32.58
19,119.66,26.12,2006/7/24,1,Plume,Plume,3.52,25.94,16.06
20,119.75,26.04,2022/8/15,5.2967,Plume,Plume,3.8,25.9,23.98
21,119.78,25.94,2022/8/15,7.96956,Plume,Plume,4.53,25.92,24.27
22,120.25,25.46,2006/7/28,35.0549,Oligotrophic,Oligotrophic,0.33,27.33,33.63
23,120.59,25.24,2006/7/29,52.1872,Oligotrophic,Oligotrophic,0.28,27.86,33.65
24,119.81,25.39,2006/7/29,1,Plume,X,2.2,26.65,33.36
25,119.36,25.15,2006/7/3,3.52634,Mixed,Mixed,3.76,27.2,33
26,120,24.92,2006/7/31,44.8174,Oligotrophic,Oligotrophic,0.26,27.48,33.68
27,120.25,24.77,2006/7/30,53.4238,Oligotrophic,Oligotrophic,0.17,27.65,33.64
28,118.78,24.8,2006/7/31,1,Plume,Plume,4.9,27.14,26.69
29,119,24.79,2006/7/31,6.6405,Mixed,Mixed,4.57,27.41,32.99
30,119.13,24.71,2006/7/31,19.4363,Mixed,Mixed,3.08,27.19,33.6
31,119.75,24.34,2006/7/31,65.9886,Oligotrophic,Oligotrophic,0.5,28.15,33.48
32,118.2,24.53,2021/8/9,1,Plume,Plume,2.89,28.1,28.47
33,118.23,24.5,2021/8/9,2.63728,Plume,Plume,2.65,28.01,28.88
34,118.62,24.3,2006/8/1,21.4059,Upwelling,X,0.39,25.95,33.48
35,118.88,24.15,2006/8/1,46.1703,Upwelling,X,0.55,26.94,33.61
36,119.22,23.94,2006/8/2,41.1611,Mixed,Mixed,0.69,27.56,33.7
37,118.02,24.43,2021/8/10,1,Plume,Plume,2.85,28.16,13.05
38,118.14,24.4,2021/8/10,1,Plume,Plume,2.43,28.06,23.78
39,118.19,24.35,2021/8/10,1,Plume,Plume,2.06,27.99,28.91
40,118.12,24.05,2006/8/5,17.0084,Mixed,Mixed,2.09,27.71,30.51
41,118.75,23.85,2006/8/2,68.1524,Mixed,Mixed,1.72,28.17,33.47
42,119,23.46,2006/8/18,34.0706,Mixed,Mixed,1.05,28.2,33.66
43,118.13,23.83,2006/8/6,27.8382,Upwelling,Upwelling,2.4,25.74,32.95
44,118.7,23.45,2009/6/10,62.4262,Upwelling,Upwelling,0.33,26.57,34.25
45,118.98,23.13,2006/8/6,47.5039,Mixed,Mixed,0.95,27.7,33.62
46,117.95,23.79,2009/6/10,18.559,Upwelling,Upwelling,1.5,26.27,34.02
47,118.15,23.55,2009/6/10,46.911,Upwelling,Upwelling,1.05,25.87,34.15
48,117.59,23.59,2006/8/7,10.5463,Upwelling,Upwelling,1.35,25.35,30.59
49,118.52,23.21,2009/6/10,85.0526,Upwelling,Upwelling,0.49,26.69,34.26
50,117.38,23.47,2009/6/11,7.26115,Mixed,Mixed,1.32,27.24,33.03
51,117.48,23.38,2009/6/11,22.3225,Upwelling,Upwelling,1.2,25.89,34.1
52,117.86,23.2,2006/8/7,56.3668,Oligotrophic,Oligotrophic,0.45,27.65,33.29
53,118.21,22.93,2006/8/7,103.102,Upwelling,Upwelling,1.34,26.09,33.93
54,116.92,23.49,2022/8/23,4.18824,Plume,Plume,1.26,26.65,28.98
55,117.73,23.12,2009/6/11,56.1178,Upwelling,Upwelling,0.44,26.72,34.14
56,116.84,23.39,2022/8/23,1,Plume,Plume,0.93,26.69,17.65
57,116.78,23.3,2022/8/23,1,Plume,Plume,1.01,26.7,17.95
58,117.11,23.29,2009/6/12,10.1558,Upwelling,Upwelling,1.04,25.99,33.42
59,117.19,23.21,2009/6/12,19.9532,Mixed,Mixed,1.41,27.34,33.74
60,118.22,22.73,2009/6/11,123.298,Upwelling,Upwelling,0.89,26.3,34.1
61,118.59,22.51,2016/6/18,112.608,Oligotrophic,Oligotrophic,0.4,29.99,32.19
62,117.5,22.91,2009/6/12,63.3346,Oligotrophic,Oligotrophic,0.39,27.56,33.82
63,117.83,22.56,2009/6/12,114.953,Upwelling,Upwelling,0.44,26.95,34.04
64,118.26,22.42,2016/6/19,146.756,Oligotrophic,Oligotrophic,0.34,28.27,32.37
65,116.75,23.03,2022/8/15,15.3824,Mixed,Mixed,1.26,26.78,33.4
66,116.85,23.07,2009/6/13,13.0158,Upwelling,Upwelling,1.23,26.27,33.43
67,117.53,22.44,2016/6/19,110.284,Oligotrophic,Oligotrophic,0.33,32.31,31.87
68,117.55,22.29,2006/8/12,127.047,Oligotrophic,Oligotrophic,0.29,29.61,33.44
69,118.26,22.02,2016/6/18,176.36,Oligotrophic,X,0.3,29.78,31.77
70,116.53,22.91,2022/8/15,1,Plume,X,0.77,28.64,32.03
71,116.59,22.81,2009/6/13,15.8092,Mixed,Mixed,0.88,28.03,33.28
72,116.82,22.59,2009/6/13,45.8682,Oligotrophic,Oligotrophic,0.61,28.72,32.15
73,117.05,22.34,2009/6/13,85.5067,Oligotrophic,Oligotrophic,0.27,30.66,33.37
74,117.36,22.03,2009/6/13,130.505,Oligotrophic,X,0.23,29.38,33.8
75,116.33,22.91,2022/8/15,2.39029,Plume,X,1.26,28.61,31.94
76,116.1,22.8,2022/8/15,3.18149,Plume,X,1.03,27.4,30.21
77,116.2,22.67,2009/6/14,16.2158,Mixed,Mixed,0.71,28.03,33.26
78,116.46,22.4,2009/6/14,56.8555,Oligotrophic,Oligotrophic,0.4,28.72,32.15
79,117.5,21.5,2014/8/27,119.484,Oligotrophic,X,0.3,28.85,34.81
80,115.86,22.73,2019/8/19,1,Plume,X,0.98,28.64,32.8
81,115.62,22.82,2019/8/17,1,Plume,X,1.54,28.18,34.03
82,115.61,22.55,2019/8/17,8.75252,Mixed,Mixed,0.66,28.62,33.98
83,115.82,22.28,2019/8/17,45.0997,Oligotrophic,Oligotrophic,0.52,29.16,34.24
84,116.46,21.24,2006/8/14,65.2948,Oligotrophic,X,0.31,28.71,33.73
85,117.1,22.83,2009/6/13,47.8553,Oligotrophic,Oligotrophic,0.22,27.54,33.61
86,117.622,22.2958,2009/6/12,131.34,Oligotrophic,Oligotrophic,0.22,27.75,33.86
